CustomerID,Age,Annual_Income_k$,Spending_Score,Purchase_Frequency,Gender
150,44.0,35.09,35,6,Female
151,26.0,76.01,19,3,Male
152,32.0,111.33,95,1,Male
153,32.0,70.47,17,5,Male
154,43.0,31.0,78,4,Female
155,59.0,84.46,32,8,Female
156,30.0,46.36,17,0,Male
157,68.0,44.64,87,7,Male
158,49.0,37.44,38,2,Female
159,56.0,100.71,5,4,Female
160,66.0,49.88,1,7,Female
161,69.0,37.0,6,4,Female
162,49.0,91.17,87,6,Male
163,21.0,20.31,97,8,Male
164,47.0,61.61,17,6,Male
165,54.0,43.0,4,8,Female
166,40.0,75.16,22,5,Male
167,,49.42,47,5,Female
168,62.0,24.72,38,3,Female
169,32.0,63.6,47,5,Female
170,60.0,48.52,42,4,Male
171,46.0,81.05,21,6,Female
172,53.0,61.68,13,8,Male
173,30.0,113.54,18,7,Male
174,49.0,46.08,44,2,Male
175,24.0,89.32,67,7,Female
176,68.0,51.24,76,4,Female
177,39.0,56.97,95,3,Female
178,45.0,78.91,47,7,Male
179,19.0,36.46,21,2,Female
180,59.0,89.72,37,4,Male
181,62.0,77.31,46,7,Male
182,23.0,79.78,31,0,Male
183,45.0,83.39,88,3,Male
184,45.0,74.47,70,5,Female
185,61.0,77.01,14,9,Male
186,61.0,92.91,21,2,Male
187,37.0,60.14,22,1,Female
188,47.0,55.53,77,6,Female
189,28.0,72.1,9,3,Male
190,45.0,62.5,73,1,Female
191,42.0,83.39,54,7,Male
192,56.0,106.63,14,6,Female
193,50.0,36.35,88,6,Male
194,18.0,62.46,31,2,Female
195,44.0,33.42,38,3,Male
196,69.0,,69,10,Female
197,30.0,56.28,89,6,Male
198,58.0,50.25,61,3,Female
199,,82.62,73,6,Male
200,56.0,68.97,43,4,Male
201,23.0,,67,2,Male
202,25.0,82.66,15,3,Male
203,44.0,57.15,82,7,Male
204,26.0,46.7,50,9,Male
205,54.0,34.54,29,6,Male
206,50.0,23.37,56,4,Female
207,68.0,48.38,92,12,Male
208,59.0,61.46,44,10,Male
209,61.0,83.19,81,3,Male
210,41.0,8.9,89,8,Male
211,32.0,106.6,96,4,Female
212,49.0,40.76,50,3,Male
213,49.0,50.36,58,8,Female
214,41.0,51.26,48,3,Female
215,58.0,44.21,65,3,Male
216,69.0,52.39,9,7,Female
217,66.0,54.04,97,3,Female
218,66.0,56.2,83,1,Female
219,69.0,99.63,67,9,Female
220,,41.63,32,2,Male
221,56.0,105.85,99,2,Female
222,19.0,73.63,34,7,Female
223,20.0,21.18,12,5,Female
224,66.0,39.22,80,5,Male
225,,36.24,44,3,Female
226,66.0,59.44,28,4,Female
227,34.0,92.99,41,4,Male
228,66.0,80.35,77,7,Female
229,19.0,34.57,28,2,Male
230,19.0,90.38,92,1,Male
231,45.0,33.92,6,6,Female
232,40.0,37.7,83,7,Female
233,54.0,86.22,47,2,Female
234,49.0,85.7,100,4,Female
235,50.0,80.38,1,8,Female
236,,60.5,96,8,Female
237,36.0,58.13,86,7,Male
238,19.0,30.73,28,3,Male
239,61.0,59.69,91,4,Male
240,43.0,43.16,8,6,Female
241,49.0,55.54,26,4,Male
242,23.0,117.37,84,6,Female
243,,68.09,20,6,Female
244,21.0,32.28,91,3,Male
245,28.0,91.08,39,4,Female
246,34.0,93.57,69,6,Male
247,55.0,95.86,69,6,Male
248,41.0,48.08,8,4,Male
249,22.0,57.22,77,5,Male
250,69.0,28.46,53,6,Male
251,51.0,98.98,60,5,Male
252,23.0,,34,7,Female
253,39.0,25.74,3,6,Female
254,28.0,101.34,53,12,Female
255,65.0,43.04,21,4,Male
256,33.0,50.14,53,6,Male
257,50.0,33.84,27,5,Female
258,26.0,29.83,49,5,Male
259,23.0,69.74,9,4,Male
260,33.0,42.59,39,7,Male
261,46.0,21.88,96,5,Male
262,20.0,84.77,86,7,Female
263,37.0,72.58,47,4,Female
264,53.0,104.7,73,1,Female
265,36.0,50.68,51,7,Female
266,43.0,61.0,39,6,Female
267,20.0,65.29,8,6,Female
268,36.0,63.49,26,7,Male
269,37.0,66.28,33,5,Female
270,49.0,51.98,87,7,Male
271,24.0,14.94,45,3,Female
272,69.0,67.2,75,8,Female
273,58.0,74.38,52,9,Male
274,50.0,51.59,46,0,Male
275,57.0,122.15,81,5,Male
276,56.0,48.07,14,8,Male
277,35.0,44.36,9,3,Female
278,57.0,71.09,68,7,Male
279,18.0,65.88,18,6,Male
280,28.0,20.65,97,5,Male
281,45.0,79.92,5,6,Male
282,42.0,48.59,87,7,Female
283,67.0,90.96,11,1,Female
284,40.0,69.99,35,3,Female
285,48.0,54.12,65,5,Male
286,47.0,91.87,60,4,Female
287,59.0,46.28,11,5,Female
288,52.0,26.61,29,2,Male
289,24.0,25.93,97,8,Female
290,33.0,66.07,14,6,Male
291,43.0,105.51,87,5,Male
292,65.0,56.44,36,2,Female
293,69.0,79.0,28,5,Male
294,66.0,67.79,16,5,Female
295,19.0,49.67,15,11,Female
296,18.0,18.56,24,4,Female
297,65.0,64.16,14,5,Female
298,29.0,,17,1,Male
299,22.0,71.38,82,7,Female
300,54.0,51.51,86,8,Male
301,49.0,46.78,17,5,Male
302,26.0,44.16,42,3,Female
303,58.0,43.53,59,6,Male
304,52.0,61.13,19,5,Male
305,36.0,,6,6,Female
306,65.0,72.64,72,4,Female
307,33.0,35.75,8,4,Male
308,20.0,59.34,52,6,Male
309,37.0,59.12,61,5,Female
310,41.0,47.29,41,2,Male
311,50.0,67.69,51,11,Female
312,41.0,37.69,60,7,Female
313,69.0,89.82,51,7,Male
314,28.0,70.6,23,5,Female
315,66.0,73.61,51,3,Female
316,25.0,58.21,25,5,Female
317,53.0,51.78,69,7,Male
318,,41.95,21,2,Male
319,57.0,39.19,48,1,Female
320,37.0,21.77,16,4,Female
321,52.0,62.32,24,8,Female
322,65.0,77.47,92,5,Male
323,42.0,29.46,68,4,Female
324,,93.07,24,4,Male
325,42.0,20.68,87,2,Female
326,46.0,81.36,13,4,Female
327,35.0,38.86,50,5,Female
328,63.0,86.98,7,6,Female
329,35.0,79.07,97,5,Female
330,19.0,126.24,25,2,Female
331,52.0,44.42,42,5,Female
332,33.0,4.08,13,3,Male
333,58.0,12.73,5,8,Male
334,53.0,54.85,90,3,Male
335,50.0,64.11,40,7,Male
336,21.0,42.06,72,7,Female
337,50.0,69.1,74,4,Male
338,31.0,82.34,88,5,Male
339,38.0,74.6,97,1,Male
340,65.0,59.01,67,4,Male
341,37.0,38.85,59,2,Male
342,25.0,80.8,100,4,Female
343,24.0,94.55,71,6,Female
344,20.0,44.97,12,3,Male
345,34.0,30.72,83,3,Female
346,50.0,88.86,54,4,Female
347,65.0,68.04,36,4,Female
348,29.0,67.54,80,8,Male
349,68.0,102.98,78,3,Male
350,,15.16,2,5,Female
351,39.0,54.7,86,3,Male
352,63.0,69.44,13,4,Female
353,,110.37,36,4,Female
354,55.0,58.77,57,9,Female
355,55.0,47.91,34,2,Female
356,62.0,65.42,56,6,Female
357,68.0,78.27,13,10,Male
358,25.0,89.81,83,5,Male
359,44.0,96.77,87,2,Male
360,44.0,12.18,32,5,Male
361,51.0,40.82,99,4,Female
362,38.0,81.59,53,6,Male
363,47.0,66.52,12,3,Male
364,50.0,70.88,56,7,Male
365,45.0,44.37,7,8,Male
366,64.0,66.02,79,2,Female
367,50.0,54.2,13,12,Male
368,22.0,71.86,89,4,Male
369,65.0,72.71,15,7,Male
370,36.0,68.12,5,13,Female
371,21.0,66.88,6,5,Female
372,52.0,55.76,53,5,Male
373,66.0,99.73,72,3,Female
374,34.0,87.97,1,4,Female
375,61.0,61.39,38,3,Male
376,45.0,81.49,39,7,Female
377,47.0,110.69,68,4,Male
378,46.0,37.42,30,4,Female
379,63.0,42.55,73,9,Female
380,23.0,62.15,61,5,Female
381,52.0,67.83,53,5,Female
382,58.0,46.64,33,5,Male
383,54.0,,84,7,Female
384,41.0,57.96,5,5,Female
385,46.0,87.32,16,5,Male
386,66.0,43.31,80,6,Female
387,63.0,38.51,84,5,Male
388,48.0,55.12,18,5,Female
389,52.0,56.23,29,4,Female
390,50.0,37.61,57,7,Male
391,69.0,62.65,92,6,Female
392,38.0,43.62,89,6,Female
393,49.0,107.5,28,4,Female
394,40.0,58.51,19,4,Male
395,50.0,69.21,82,1,Female
396,20.0,28.85,44,7,Female
397,35.0,73.75,91,7,Female
398,42.0,39.86,21,5,Female
399,59.0,82.85,9,5,Male
400,48.0,21.49,52,2,Male
401,20.0,59.21,16,4,Female
402,57.0,85.82,94,9,Female
403,63.0,,21,7,Female
404,41.0,56.5,24,7,Female
405,67.0,,30,7,Male
406,49.0,39.47,70,7,Female
407,64.0,30.73,99,7,Female
408,39.0,33.91,20,8,Female
409,40.0,,20,6,Male
410,19.0,70.39,62,6,Male
411,44.0,52.47,17,7,Female
412,59.0,84.59,41,3,Female
413,19.0,,26,11,Female
414,43.0,69.13,31,4,Female
415,,,33,4,Male
416,57.0,74.31,37,4,Female
417,50.0,91.24,69,6,Male
418,26.0,62.59,59,5,Male
419,60.0,35.83,100,8,Male
420,65.0,21.19,44,9,Female
421,,84.9,92,7,Male
422,46.0,62.55,33,5,Male
423,59.0,26.01,78,8,Female
424,43.0,69.55,47,2,Male
425,52.0,59.46,9,3,Female
426,67.0,99.73,88,8,Female
427,42.0,39.87,36,5,Female
428,41.0,69.32,32,6,Male
429,30.0,89.66,84,4,Female
430,24.0,71.54,61,5,Male
431,53.0,56.07,53,3,Male
432,62.0,51.57,91,5,Male
433,37.0,,59,5,Female
434,18.0,47.32,40,5,Male
435,25.0,42.48,97,5,Female
436,63.0,88.42,16,5,Male
437,33.0,86.22,57,6,Female
438,31.0,78.2,78,2,Female
439,,65.54,33,5,Female
440,68.0,64.7,54,3,Female
441,40.0,20.88,8,6,Female
442,32.0,77.41,92,5,Male
443,45.0,60.32,63,5,Female
444,51.0,30.08,88,4,Female
445,19.0,86.21,87,3,Female
446,49.0,55.96,65,2,Female
447,40.0,78.74,56,4,Female
448,39.0,70.98,85,3,Female
449,68.0,37.35,67,2,Male
450,42.0,78.66,1,1,Male
451,39.0,43.3,63,8,Male
452,39.0,,69,2,Female
453,,78.58,85,5,Female
454,69.0,65.01,41,2,Male
455,59.0,62.81,33,8,Female
456,23.0,78.91,50,7,Male
457,32.0,31.33,77,5,Male
458,60.0,36.2,28,7,Female
459,54.0,32.19,22,8,Female
460,50.0,,34,2,Male
461,25.0,68.34,34,6,Female
462,61.0,110.96,98,8,Female
463,61.0,53.93,84,3,Female
464,22.0,64.09,86,4,Male
465,,24.33,25,3,Male
466,21.0,46.27,20,4,Female
467,23.0,8.58,19,6,Female
468,62.0,116.97,5,3,Female
469,49.0,12.7,54,6,Female
470,69.0,,64,8,Male
471,47.0,56.41,47,11,Male
472,64.0,104.21,31,7,Male
473,52.0,65.6,45,3,Female
474,,24.88,76,6,Male
475,69.0,52.45,1,6,Male
476,33.0,61.52,7,7,Female
477,30.0,,68,5,Male
478,67.0,41.44,46,9,Female
479,59.0,39.62,20,3,Female
480,47.0,40.34,59,6,Male
481,36.0,36.72,33,5,Female
482,34.0,37.59,6,7,Female
483,36.0,51.39,87,4,Male
484,45.0,78.34,16,3,Female
485,43.0,,47,1,Female
486,54.0,39.29,18,3,Female
487,43.0,60.96,91,6,Male
488,40.0,72.63,92,5,Male
489,26.0,96.59,76,5,Male
490,29.0,77.17,53,7,Female
491,18.0,63.4,28,7,Female
492,18.0,58.79,20,8,Female
493,64.0,56.41,2,7,Male
494,51.0,30.38,73,5,Male
495,49.0,69.35,73,7,Male
496,65.0,48.58,91,1,Male
497,42.0,63.28,84,4,Female
498,57.0,36.13,11,2,Female
499,62.0,57.16,18,7,Female
500,18.0,36.29,17,3,Male
501,33.0,72.8,95,3,Male
502,56.0,53.03,44,5,Male
503,22.0,63.86,77,6,Male
504,39.0,48.49,87,7,Female
505,46.0,76.64,45,6,Female
506,20.0,68.35,51,6,Female
507,29.0,38.53,64,3,Male
508,43.0,36.53,18,2,Female
509,33.0,81.18,9,6,Male
510,68.0,2.11,17,5,Female
511,54.0,93.88,21,4,Male
512,39.0,41.27,89,8,Female
513,46.0,75.59,24,5,Male
514,,68.79,88,2,Female
515,45.0,50.33,31,3,Female
516,22.0,66.98,70,8,Male
517,64.0,60.93,49,4,Female
518,66.0,78.55,99,6,Female
519,47.0,40.12,82,6,Male
520,63.0,76.11,78,4,Male
521,69.0,11.0,30,5,Male
522,22.0,74.07,23,6,Female
523,29.0,59.39,71,6,Male
524,33.0,71.2,72,4,Male
525,43.0,74.45,77,3,Male
526,43.0,95.78,44,4,Male
527,65.0,62.37,51,4,Male
528,38.0,37.57,41,9,Male
529,56.0,104.61,49,6,Male
530,53.0,68.32,40,5,Male
531,50.0,80.91,15,3,Female
532,47.0,49.67,63,4,Male
533,54.0,49.44,25,5,Female
534,40.0,,46,6,Male
535,27.0,73.45,61,7,Female
536,22.0,66.83,45,7,Male
537,53.0,35.1,17,6,Male
538,51.0,98.0,91,9,Male
539,69.0,30.17,63,5,Female
540,,68.23,18,7,Female
541,27.0,,91,2,Male
542,36.0,123.18,94,3,Male
543,49.0,245.72,500,4,Male
544,18.0,29.35,74,4,Female
545,22.0,76.26,16,8,Male
546,62.0,47.44,32,4,Female
547,,86.6,77,6,Male
548,33.0,81.9,78,5,Female
549,41.0,77.66,16,4,Male
550,33.0,40.58,73,5,Female
551,19.0,81.62,31,1,Female
552,66.0,117.63,31,2,Male
553,45.0,50.51,63,11,Male
554,49.0,55.09,19,2,Female
555,44.0,56.48,93,7,Male
556,37.0,52.42,84,5,Male
557,41.0,63.43,2,2,Female
558,29.0,60.51,39,8,Female
559,67.0,58.55,5,9,Male
560,52.0,37.81,40,2,Female
561,50.0,89.76,87,6,Female
562,50.0,69.37,3,3,Female
563,68.0,84.25,46,8,Male
564,60.0,74.94,49,5,Female
565,54.0,-6.43,30,5,Male
566,,82.61,96,3,Male
567,20.0,80.28,7,3,Female
568,18.0,66.01,8,3,Female
569,50.0,114.26,32,8,Male
570,57.0,86.13,42,6,Female
571,27.0,85.2,77,3,Male
572,60.0,17.52,92,9,Male
573,61.0,93.6,92,3,Male
574,46.0,76.94,65,7,Female
575,30.0,26.48,87,10,Male
576,29.0,68.0,11,3,Male
577,48.0,17.79,18,5,Male
578,63.0,77.11,8,4,Male
579,,64.54,84,4,Male
580,68.0,45.05,48,6,Male
581,67.0,77.64,39,2,Male
582,52.0,41.07,70,11,Female
583,40.0,63.0,65,7,Female
584,34.0,87.68,15,4,Female
585,43.0,,60,4,Female
586,25.0,36.24,28,2,Male
587,46.0,87.28,84,3,Male
588,43.0,62.78,92,2,Female
589,27.0,110.2,24,9,Female
590,43.0,72.97,90,2,Male
591,51.0,79.07,65,3,Male
592,68.0,69.09,90,11,Male
593,58.0,73.92,19,9,Female
594,24.0,75.23,37,6,Female
595,21.0,76.95,19,3,Female
596,67.0,32.07,66,7,Female
597,62.0,38.53,35,8,Female
598,28.0,76.54,47,0,Male
599,46.0,62.32,87,5,Female
600,53.0,40.92,95,5,Female
601,42.0,67.52,61,5,Female
602,38.0,100.34,51,6,Male
603,53.0,64.78,57,3,Female
604,27.0,70.55,44,2,Male
605,54.0,71.35,68,2,Female
606,26.0,44.74,72,2,Male
607,41.0,58.73,43,5,Male
608,52.0,7.78,100,6,Male
609,66.0,36.39,6,3,Male
610,,58.03,11,3,Male
611,65.0,,21,4,Male
612,53.0,,79,5,Female
613,35.0,52.6,18,4,Female
614,66.0,93.09,38,6,Male
615,56.0,,67,2,Male
616,49.0,58.6,11,8,Male
617,41.0,69.42,76,2,Female
618,40.0,90.25,94,5,Male
619,49.0,59.86,46,7,Female
620,54.0,70.52,59,5,Female
621,29.0,25.16,36,8,Male
622,,72.91,70,5,Female
623,30.0,91.92,59,3,Female
624,40.0,32.05,37,3,Male
625,42.0,18.52,96,5,Female
626,52.0,92.35,58,5,Female
627,58.0,52.08,92,4,Female
628,47.0,40.48,6,8,Female
629,34.0,62.42,61,11,Male
630,66.0,46.34,13,8,Male
631,37.0,34.12,77,5,Female
632,65.0,109.41,500,4,Female
633,42.0,105.1,72,3,Female
634,39.0,101.66,79,3,Female
635,30.0,53.77,32,7,Female
636,36.0,125.45,35,5,Male
637,66.0,93.21,7,4,Male
638,,58.77,9,5,Male
639,29.0,116.76,86,6,Male
640,58.0,8.89,40,4,Female
641,36.0,54.79,91,4,Female
642,29.0,104.0,30,6,Female
643,26.0,51.48,75,4,Female
644,24.0,89.34,1,3,Female
645,45.0,35.48,22,4,Female
646,31.0,43.47,8,3,Female
647,48.0,69.71,9,5,Female
648,69.0,76.55,81,3,Female
649,,65.21,37,8,Male
650,64.0,49.67,57,2,Female
651,33.0,36.77,66,1,Female
652,22.0,119.08,92,5,Female
653,52.0,68.76,97,1,Male
654,29.0,87.65,51,2,Female
655,42.0,84.71,93,5,Male
656,69.0,48.18,76,1,Female
657,38.0,,64,4,Male
658,53.0,,50,2,Female
659,40.0,79.25,46,4,Male
660,33.0,56.09,61,7,Male
661,56.0,100.71,34,3,Female
662,62.0,19.8,60,6,Female
663,59.0,72.6,30,4,Male
664,56.0,123.68,61,7,Male
665,31.0,41.71,63,6,Female
666,48.0,64.05,24,1,Male
667,22.0,51.28,50,2,Male
668,52.0,82.46,48,6,Female
669,40.0,,4,5,Male
670,46.0,29.96,50,5,Male
671,60.0,35.26,13,4,Male
672,28.0,82.05,71,3,Male
673,35.0,55.52,42,2,Male
674,64.0,44.13,1,6,Male
675,29.0,70.25,52,4,Male
676,26.0,65.63,92,7,Female
677,27.0,55.15,32,6,Male
678,61.0,47.58,77,6,Male
679,34.0,37.4,70,4,Male
680,55.0,95.71,7,5,Male
681,24.0,97.4,27,3,Female
682,63.0,27.23,73,0,Female
683,30.0,50.28,82,5,Female
684,57.0,71.33,85,11,Male
685,59.0,37.52,54,5,Male
686,26.0,78.59,41,7,Male
687,67.0,65.46,75,4,Male
688,44.0,80.84,49,2,Female
689,,117.97,44,4,Male
690,22.0,18.29,20,4,Female
691,46.0,96.62,31,2,Male
692,54.0,46.92,53,5,Female
693,55.0,77.61,62,4,Male
694,36.0,74.05,4,1,Male
695,25.0,95.38,24,4,Male
696,65.0,62.69,94,1,Male
697,62.0,40.64,18,5,Male
698,18.0,67.27,51,4,Male
699,39.0,103.33,35,3,Female
700,,69.93,97,3,Male
701,34.0,,41,3,Female
702,24.0,57.33,57,5,Female
703,42.0,67.48,75,7,Male
704,62.0,64.14,93,4,Female
705,21.0,60.7,26,5,Female
706,53.0,85.78,94,4,Male
707,23.0,111.85,36,5,Male
708,48.0,84.99,100,2,Male
709,36.0,76.81,70,5,Male
710,61.0,87.07,77,10,Male
711,56.0,77.41,85,4,Female
712,44.0,64.88,67,3,Male
713,27.0,46.77,57,4,Female
714,43.0,46.76,21,5,Female
715,36.0,60.94,24,6,Male
716,56.0,68.56,18,5,Female
717,20.0,89.71,1,4,Male
718,62.0,,79,6,Female
719,30.0,52.53,99,2,Female
720,67.0,68.08,97,5,Male
721,45.0,71.98,53,8,Male
722,37.0,46.76,46,6,Female
723,45.0,43.29,24,3,Female
724,25.0,77.36,10,5,Male
725,58.0,58.2,17,4,Female
726,,90.75,30,3,Female
727,18.0,68.22,25,8,Female
728,20.0,59.49,98,4,Female
729,30.0,31.8,7,4,Female
730,45.0,61.49,6,1,Female
731,66.0,36.72,87,4,Female
732,42.0,29.23,37,10,Female
733,50.0,99.04,15,2,Male
734,55.0,49.11,81,5,Female
735,23.0,83.58,60,9,Female
736,61.0,33.58,50,0,Male
737,62.0,43.5,38,6,Male
738,49.0,41.26,66,3,Male
739,62.0,78.42,88,8,Female
740,64.0,72.44,31,7,Female
741,38.0,,59,4,Male
742,,25.89,52,4,Male
743,38.0,73.32,18,4,Male
744,28.0,94.0,14,9,Female
745,54.0,92.76,30,5,Female
746,53.0,41.85,86,5,Male
747,52.0,50.44,1,5,Male
748,36.0,73.12,53,5,Female
749,37.0,74.9,12,6,Female
750,35.0,66.26,48,8,Male
751,64.0,50.91,1,4,Female
752,58.0,71.88,22,6,Female
753,66.0,64.1,27,4,Female
754,31.0,65.03,9,3,Male
755,32.0,82.33,30,6,Male
756,48.0,87.81,50,5,Female
757,18.0,68.72,91,6,Male
758,20.0,67.4,43,6,Female
759,33.0,56.09,76,6,Male
760,40.0,63.3,57,4,Female
761,28.0,78.98,33,9,Male
762,29.0,72.36,33,6,Male
763,27.0,46.44,52,9,Female
764,49.0,45.11,2,5,Male
765,33.0,44.32,10,6,Female
766,25.0,88.72,45,5,Female
767,,,11,11,Male
768,29.0,26.11,59,8,Female
769,41.0,44.63,57,6,Female
770,45.0,78.84,81,3,Male
771,25.0,53.32,1,3,Male
772,45.0,,74,5,Male
773,53.0,68.87,64,6,Male
774,43.0,70.16,37,3,Female
775,25.0,79.67,25,2,Male
776,67.0,94.08,8,8,Male
777,45.0,90.79,96,11,Female
778,45.0,73.88,5,5,Male
779,54.0,57.9,39,5,Female
780,58.0,70.77,29,3,Female
781,53.0,49.75,44,2,Male
782,,,40,8,Male
783,34.0,47.58,81,5,Female
784,26.0,41.07,23,2,Male
785,50.0,83.76,78,6,Female
786,37.0,23.97,35,8,Female
787,30.0,45.06,55,4,Male
788,45.0,75.01,43,6,Female
789,65.0,57.84,61,6,Male
790,46.0,56.81,91,4,Female
791,30.0,33.74,30,4,Male
792,63.0,35.73,16,4,Male
793,52.0,55.44,19,4,Male
794,23.0,22.45,29,5,Female
795,35.0,59.77,33,3,Female
796,68.0,88.41,96,1,Male
797,22.0,86.2,89,6,Male
798,64.0,73.33,29,5,Male
799,42.0,64.79,38,3,Female
800,19.0,57.94,2,9,Female
801,,61.41,53,10,Female
802,47.0,38.77,60,11,Female
803,67.0,45.87,67,4,Female
804,62.0,,43,3,Male
805,22.0,81.05,96,5,Male
806,50.0,57.4,100,6,Male
807,18.0,105.11,30,3,Female
808,35.0,46.69,64,3,Male
809,49.0,59.81,72,5,Male
810,64.0,75.92,5,4,Female
811,66.0,69.46,58,6,Female
812,28.0,58.17,69,7,Female
813,38.0,99.96,93,8,Female
814,43.0,39.08,97,6,Female
815,42.0,74.31,99,3,Female
816,39.0,50.2,83,2,Female
817,44.0,56.88,90,3,Male
818,66.0,65.82,96,7,Female
819,30.0,57.17,38,0,Female
820,50.0,56.26,57,7,Male
821,51.0,25.45,95,2,Female
822,58.0,80.14,50,3,Male
823,52.0,25.26,27,11,Female
824,,92.14,36,6,Female
825,38.0,57.63,25,5,Male
826,65.0,80.81,71,5,Male
827,23.0,5.44,78,3,Female
828,45.0,59.15,38,2,Male
829,,59.7,22,4,Female
830,22.0,40.14,27,9,Female
831,48.0,79.36,50,6,Male
832,22.0,46.03,76,5,Male
